model,MAE,MAPE,RMSE,split,model_name
naive,6.148571428571429,0.10262748899536794,8.819013550278738,val,naive
seasonal7,5.366071428571429,0.08973573203353295,8.114163102695365,val,seasonal7
ridge_val,4.454789512023932,0.07308324006961643,6.448254551761566,val,ridge
ridge_test,4.468478614930858,0.07472671764574224,6.1390705264286805,test,ridge
elastic_val,4.407623550251662,0.07298744530015211,6.369397105586826,val,elastic
elastic_test,4.382848400540662,0.07396401950908513,6.025779742988836,test,elastic
hgb_val,4.202884626499553,0.07044537033489014,6.117900984752045,val,hgb
hgb_test,4.166217431434403,0.07147439263610778,5.748315893211719,test,hgb
rf_val,4.20099209750006,0.07064057393718566,6.1097180051567195,val,rf
rf_test,4.172906897438058,0.07158396378116873,5.759922273592368,test,rf
et_val,4.1909322538037355,0.07018399274780612,6.100154098910949,val,et
et_test,4.164912406798757,0.07124199951384937,5.741093360300425,test,et
cat_val,4.215164152590804,0.07051840942943455,6.113090796900588,val,cat
cat_test,4.202674880350931,0.07225586934779774,5.767733747833763,test,cat
lgbm_val,4.2605570345705175,0.07188325163001077,6.161319569222877,val,lgbm
lgbm_test,4.220478487260589,0.07286970213279022,5.7998479767713045,test,lgbm
xgb_val,4.276079314095633,0.07184824930919947,6.181275220157807,val,xgb
xgb_test,4.272542362213135,0.07353038113449192,5.872027228583495,test,xgb
stacker_cases_val,3.1234557223066637,0.05204903082637657,4.760663248438859,,
stacker_cases_test,4.168135885652779,0.07100133020745301,5.747895495822774,,
