model,MAE,MAPE,RMSE,split,model_name
naive,5.221071428571428,0.10004151786423868,7.442853715381717,val,naive
seasonal7,4.672142857142857,0.08929840565130566,6.929697993831642,val,seasonal7
ridge_val,4.016177501883016,0.07525059899798443,5.6704021059833805,val,ridge
ridge_test,4.274979926253102,0.07582020335578753,6.320075860129923,test,ridge
elastic_val,3.847089611622872,0.07305661272721081,5.469235520151949,val,elastic
elastic_test,4.048955756279509,0.07270714401949999,6.080440902721168,test,elastic
hgb_val,3.620141042322576,0.06958069801974141,5.16916740389871,val,hgb
hgb_test,3.8422892964015825,0.06922249788614776,5.850392629266831,test,hgb
rf_val,3.63942907954608,0.07038504287636586,5.174671528567835,val,rf
rf_test,3.8251891829822924,0.06951218552387263,5.786259969798802,test,rf
et_val,3.6357648697348566,0.07001429682348784,5.182452528626454,val,et
et_test,3.840095213498803,0.06945997285063245,5.812131876131874,test,et
cat_val,3.6164676120096004,0.06928549781905737,5.166328581356731,val,cat
cat_test,3.8277580884670526,0.06914733368126383,5.821015580302434,test,cat
lgbm_val,3.6548626860238085,0.07014465015660103,5.201346451926901,val,lgbm
lgbm_test,3.9238964604143383,0.07070839257950212,5.918143034727346,test,lgbm
xgb_val,3.6741458415985107,0.07063917747653178,5.211985709424381,val,xgb
xgb_test,3.860251314163208,0.06986849016387128,5.854461967254767,test,xgb
stacker_cases_val,2.9314975320607393,0.056512150578067105,4.265499733362868,,
stacker_cases_test,3.8378634196896604,0.06943545902262804,5.812715305240813,,
cases_optuna_val,3.093648519842271,0.060275472927472026,4.187143574464431,,
cases_optuna_test,3.9189362547749553,0.07127745381734675,5.877591309894102,,
