model,MAE,MAPE,RMSE,split,model_name
naive,4.776428571428571,0.09896574029242865,6.616375788256632,val,naive
seasonal7,4.038928571428571,0.08371756448827888,5.722480730791998,val,seasonal7
ridge_val,3.5256234253174568,0.071138623439373,4.947122827584062,val,ridge
ridge_test,4.047942421504825,0.07591113807742143,5.835207747681394,test,ridge
elastic_val,3.401623412354115,0.06953809822149551,4.776120979200597,val,elastic
elastic_test,3.767094569774006,0.07157343574190285,5.5118862094532854,test,elastic
hgb_val,3.2882450780081114,0.06773860920766431,4.614418282802329,val,hgb
hgb_test,3.6305491692733383,0.06916367401171576,5.346202595788413,test,hgb
rf_val,3.2686280343432332,0.06768433280826924,4.589957136685257,val,rf
rf_test,3.5683021792007636,0.06823603065701539,5.285053271997468,test,rf
et_val,3.2766889119922027,0.06766264771723565,4.6046026957776025,val,et
et_test,3.5944944848246996,0.06864397061229721,5.308206242542672,test,et
cat_val,3.2744017501346097,0.06742821971299559,4.602962243655096,val,cat
cat_test,3.5972993328765486,0.06858102194597276,5.30883359882126,test,cat
lgbm_val,3.3116129404326564,0.06792222049326371,4.669166691995315,val,lgbm
lgbm_test,3.6872927849913157,0.06992654593122383,5.422626398651147,test,lgbm
xgb_val,3.318081887108939,0.06823137900822392,4.673209116911495,val,xgb
xgb_test,3.7197486743927004,0.07065052568363668,5.479157526319444,test,xgb
stacker_cases_val,2.5122243708617407,0.05192319442859467,3.6805371374381863,,
stacker_cases_test,3.565738467291241,0.06807873185561628,5.2744559046506305,,
