model,MAE,MAPE,RMSE,split,model_name
naive,5.444642857142857,0.09889150329262589,7.453450782787029,val,naive
seasonal7,4.773571428571429,0.08689575525585787,6.825948390412239,val,seasonal7
ridge_val,3.9420388791043655,0.07082820014939822,5.400201943078572,val,ridge
ridge_test,4.341880888102635,0.07230208258876734,6.900468922031128,test,ridge
elastic_val,3.8708582688942235,0.07058329704169676,5.283129812679411,val,elastic
elastic_test,4.185389184931868,0.0706748123887482,6.689203058094081,test,elastic
hgb_val,3.729874780796249,0.06795036101292254,5.0876460158961585,val,hgb
hgb_test,4.07422732669502,0.06902370987798849,6.608645919341301,test,hgb
rf_val,3.749126952408294,0.06925557937448032,5.077414588122856,val,rf
rf_test,4.101238764236609,0.06989701568723937,6.6322039503433174,test,rf
et_val,3.7429890058425137,0.06893220424262479,5.089118217704938,val,et
et_test,4.078482437413777,0.06930864839862555,6.605087076420973,test,et
cat_val,3.7218148591465825,0.06805442980542444,5.085775275548154,val,cat
cat_test,4.0404116081951695,0.06851635745363757,6.575429943764016,test,cat
lgbm_val,3.7564644769345716,0.06890109398503692,5.129462379360903,val,lgbm
lgbm_test,4.08541853795039,0.06917441259683133,6.636020810263394,test,lgbm
xgb_val,3.7594043963296073,0.06839438319767614,5.105600371491216,val,xgb
xgb_test,4.1204042129516605,0.06988574477757879,6.645749444169806,test,xgb
stacker_cases_val,3.47643480637193,0.06362495379870779,4.688696657058855,,
stacker_cases_test,4.04672812172,0.06841812644833103,6.6000225256951675,,
cases_optuna_val,3.281119539974596,0.06013486680746213,4.287417996322147,,
cases_optuna_test,4.110068565762779,0.0698868320943119,6.632836464391475,,
